"result.1","result.2","result.3","result.4","result.5","result.6","result.7","result.8","result.9"
0.999950207437479,0.925423396764171,0.997673652204643,0.996628057010529,0.779638345558964,0.842267142460347,0.769034300250038,0.836644840563181,0.991845046100463
1,0.921272918127505,0.999127713453929,0.997289195056524,0.770697572381549,0.883751760794554,0.867493087079804,0.701128709283887,0.689344462364838
1,0.92448750908018,0.999771549890998,0.999545067733545,0.997669080024717,0.995668494994502,0.743563482552695,0.684370083093886,0.660506473811726
1,0.924712834829089,0.998419376993315,0.999743289313176,0.99811253018438,0.883189739540928,0.766317819404676,0.996442915015423,0.738883989170439
0.999950110146974,0.92318035486002,0.998528453241407,0.748568983147607,0.768101075032322,0.882862885270186,0.700217997035645,0.704974229764847,0.757836755503641
0.999950357606556,0.985793536982672,0.996736785973084,0.749586897247963,0.998450736276395,0.883477501450831,0.683100097295203,0.730970765854162,0.724296333275392
1,0.988749697618746,0.678284148387132,0.999456998040015,0.760903055248243,0.803679746828164,0.778339910638463,0.849489627772652,0.692134263301481
0.999950028470847,0.925789032334776,0.999285331795618,0.750642523491626,0.674887875458819,0.765008851625391,0.767636239211085,0.647413311857472,0.741037238756122
1,0.999616223770919,0.998530241459257,0.641172830871855,0.7622050744636,0.82239436356542,0.699543741172656,0.752869148030261,0.750653060324213
1,0.99984254853418,0.998155316195319,0.998404692545681,0.762089262793429,0.78831392649188,0.645245776021345,0.60990222972333,0.747239135969016
1,0.999385300073557,0.998595802115446,0.997275858164048,0.762881710978217,0.594300166156684,0.628716997611683,0.715653938960259,0.705321180817289
1,0.998447146811056,0.99968226506777,0.751084638442839,0.998502244808,0.658602222299077,0.725879196248749,0.653833592897841,0.657082173899778
1,0.932814800214814,0.998898376917633,0.999307119112688,0.999010784815307,0.88334377557928,0.789471660289546,0.716731477258343,0.743638034113769
1,0.91884708931063,0.999711433018921,0.750332458569855,0.621627740822274,0.678839078589096,0.742066319784252,0.994953152644554,0.785588511183545
0.999950008344248,0.998352055423773,0.999078467915056,0.998820579478919,0.999239519763621,0.884304948198372,0.741032510020581,0.886476219938716,0.669047026588408
0.999950184800464,0.999922970266201,0.999841589816532,0.999547069780261,0.761468993419966,0.749069135733451,0.977804168758671,0.656454578751307,0.944320418065632
0.99995023054743,0.999026789416282,0.999289079635049,0.749427379814684,0.794685243928004,0.714668497495788,0.871599621119102,0.698941441969332,0.708987177523353
1,0.930657565888069,0.999524406011918,0.999356024568407,0.767843842501023,0.824397375021382,0.696967806012435,0.843908718936799,0.953354838951886
0.999900627328724,0.995644206521702,0.997868609561385,0.999467635583816,0.674429232725953,0.735789145292397,0.635959508107319,0.7246478007667,0.632541994680908
0.999950090830802,0.999251207527329,0.68078602539964,0.749190872045919,0.76229464256601,0.624068144823847,0.792085680682449,0.993288139128621,0.83568819176728
1,0.999832942460628,0.68344891932634,0.999419029415246,0.765337041918458,0.689618991872759,0.720022187357852,0.627952559980497,0.742530777527298
1,0.997772148032766,0.99791097639392,0.999546635323645,0.646192841062591,0.828361622628272,0.993515221427153,0.995711641064688,0.60556736524269
1,0.924016146230998,0.680627508509693,0.998356106074988,0.996003466320785,0.698330067963064,0.771485700686961,0.673405550188993,0.647076986156841
1,0.999923226583345,0.997866836023151,0.750438620358806,0.99769409768676,0.679191673078446,0.99807168442576,0.754268208218985,0.72645219486818
1,0.986775659095758,0.999762325550358,0.803502046796571,0.762612002378268,0.639270710557639,0.687959452367671,0.71105192539019,0.623953059783772
1,0.99710249542213,0.999781197645997,0.99774761777773,0.99958828490133,0.689632008947651,0.682492422991889,0.883880531906141,0.791272621481733
1,0.99938513439507,0.997831711053372,0.999330826707652,0.778697451904537,0.592978246390895,0.664329354158042,0.834235240600505,0.819803152875638
1,0.986356819631256,0.679714318550489,0.749722734322284,0.765259935324405,0.820956587832775,0.769547699196521,0.6746997895344,0.625118654967932
1,0.999203339690854,0.6841435047669,0.751764134156072,0.995543080169553,0.641191455495345,0.730245491379018,0.749220279024763,0.780286700763037
1,0.922506409293176,0.682514370971601,0.998511332942153,0.793686432153873,0.641912095449466,0.86553782724486,0.723270929927943,0.732320958740912
1,0.927753616647558,0.999403182735928,0.750503790364002,0.998726250780009,0.8836906708767,0.980085516578998,0.6929951686267,0.994465455055637
1,0.999715451340192,0.997858614687968,0.999326805174129,0.763077843486103,0.678316229014479,0.804010661787239,0.995655935591282,0.612186370829485
1,0.99984633061348,0.68306821412425,0.996099930814274,0.995840070359407,0.592548403848539,0.697932877185332,0.656309308912248,0.628040581855387
1,0.924504458173837,0.682427930405369,0.997717977642574,0.764655753902178,0.883426625360888,0.70978549358191,0.722466190185111,0.623264748652649
0.999949991027648,0.999665881789118,0.999393874086701,0.999434703057192,0.998269591691584,0.838054194933061,0.791567737071279,0.861773936616517,0.645472432270514
0.999950285695415,0.924194618527935,0.999054542428514,0.748735671237817,0.793634549017424,0.701987989643919,0.718903918329303,0.664464493331674,0.745912022566368
0.999950351024028,0.923076862043649,0.999237219854344,0.99952781398599,0.761946974552407,0.737088633868025,0.644398145848092,0.532383929329736,0.7452044498816
1,0.923362229880588,0.999622746980227,0.999653826777176,0.997195023412301,0.828273288778371,0.772671749154891,0.780204651394294,0.83163529855674
1,0.990304829926621,0.686052967362391,0.999505860058651,0.674654327359061,0.826358024050216,0.685242342200352,0.974788688000068,0.771540023663172
1,0.981885509257234,0.998999521668755,0.999430601507137,0.678232854213111,0.989341828878278,0.628082491025697,0.802769377945302,0.728293455710841
